STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,SEX,INDICATOR,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,EST_QUALITY,REF_PERIOD_START,REF_PERIOD_END,TIME_PERIOD_LABEL,SOURCE
dataflow,INE.GOB.CL:DF_ENE_IND_PRINCIPALES(1.0),I,M,CL-RM,T,EMP_RT,2025-10,60.164935792517213,PT,0,F,2025-08-01,2025-10-31,Agosto–Octubre 2025,https://www.ine.gob.cl/docs/default-source/ocupacion-y-desocupacion/cuadros-estadisticos/series-vigentes/indicadores_principales.xlsx
dataflow,INE.GOB.CL:DF_ENE_IND_PRINCIPALES(1.0),I,M,CL-RM,T,EMP_RT,2025-11,59.754380647204286,PT,0,F,2025-09-01,2025-11-30,Septiembre–Noviembre 2025,https://www.ine.gob.cl/docs/default-source/ocupacion-y-desocupacion/cuadros-estadisticos/series-vigentes/indicadores_principales.xlsx
dataflow,INE.GOB.CL:DF_ENE_IND_PRINCIPALES(1.0),I,M,CL-RM,T,EMP_RT,2025-12,59.795184940090238,PT,0,F,2025-10-01,2025-12-31,Octubre–Diciembre 2025,https://www.ine.gob.cl/docs/default-source/ocupacion-y-desocupacion/cuadros-estadisticos/series-vigentes/indicadores_principales.xlsx
dataflow,INE.GOB.CL:DF_ENE_IND_PRINCIPALES(1.0),I,M,CL-RM,T,EMP_RT,2026-01,59.706585515811959,PT,0,F,2025-11-01,2026-01-31,Noviembre–Enero 2026,https://www.ine.gob.cl/docs/default-source/ocupacion-y-desocupacion/cuadros-estadisticos/series-vigentes/indicadores_principales.xlsx
dataflow,INE.GOB.CL:DF_ENE_IND_PRINCIPALES(1.0),I,M,CL-RM,T,EMP_RT,2026-02,59.529129556229968,PT,0,F,2025-12-01,2026-02-28,Diciembre–Febrero 2026,https://www.ine.gob.cl/docs/default-source/ocupacion-y-desocupacion/cuadros-estadisticos/series-vigentes/indicadores_principales.xlsx
dataflow,INE.GOB.CL:DF_ENE_IND_PRINCIPALES(1.0),I,M,CL-RM,T,EMP_RT,2026-03,59.276885467720255,PT,0,F,2026-01-01,2026-03-31,Enero–Marzo 2026,https://www.ine.gob.cl/docs/default-source/ocupacion-y-desocupacion/cuadros-estadisticos/series-vigentes/indicadores_principales.xlsx
dataflow,INE.GOB.CL:DF_ENE_IND_PRINCIPALES(1.0),I,M,CL-RM,T,EMP_RT,2026-04,59.591804787198889,PT,0,F,2026-02-01,2026-04-30,Febrero–Abril 2026,https://www.ine.gob.cl/docs/default-source/ocupacion-y-desocupacion/cuadros-estadisticos/series-vigentes/indicadores_principales.xlsx
dataflow,INE.GOB.CL:DF_ENE_IND_PRINCIPALES(1.0),I,M,CL-RM,T,EMP_RT,2026-05,59.97887502588463,PT,0,F,2026-03-01,2026-05-31,Marzo–Mayo 2026,https://www.ine.gob.cl/docs/default-source/ocupacion-y-desocupacion/cuadros-estadisticos/series-vigentes/indicadores_principales.xlsx
dataflow,INE.GOB.CL:DF_ENE_IND_PRINCIPALES(1.0),I,M,CL-RM,T,LF,2025-05,4593.8682492384296,PS,3,F,2025-03-01,2025-05-31,Marzo–Mayo 2025,https://www.ine.gob.cl/docs/default-source/ocupacion-y-desocupacion/cuadros-estadisticos/series-vigentes/indicadores_principales.xlsx
dataflow,INE.GOB.CL:DF_ENE_IND_PRINCIPALES(1.0),I,M,CL-RM,T,LF,2025-06,4606.5418845094828,PS,3,F,2025-04-01,2025-06-30,Abril–Junio 2025,https://www.ine.gob.cl/docs/default-source/ocupacion-y-desocupacion/cuadros-estadisticos/series-vigentes/indicadores_principales.xlsx
dataflow,INE.GOB.CL:DF_ENE_IND_PRINCIPALES(1.0),I,M,CL-RM,T,LF,2025-07,4580.0308756458708,PS,3,F,2025-05-01,2025-07-31,Mayo–Julio 2025,https://www.ine.gob.cl/docs/default-source/ocupacion-y-desocupacion/cuadros-estadisticos/series-vigentes/indicadores_principales.xlsx
dataflow,INE.GOB.CL:DF_ENE_IND_PRINCIPALES(1.0),I,M,CL-RM,T,LF,2025-08,4579.5270808552059,PS,3,F,2025-06-01,2025-08-31,Junio–Agosto 2025,https://www.ine.gob.cl/docs/default-source/ocupacion-y-desocupacion/cuadros-estadisticos/series-vigentes/indicadores_principales.xlsx
dataflow,INE.GOB.CL:DF_ENE_IND_PRINCIPALES(1.0),I,M,CL-RM,T,LF,2025-09,4570.3266240396497,PS,3,F,2025-07-01,2025-09-30,Julio–Septiembre 2025,https://www.ine.gob.cl/docs/default-source/ocupacion-y-desocupacion/cuadros-estadisticos/series-vigentes/indicadores_principales.xlsx
dataflow,INE.GOB.CL:DF_ENE_IND_PRINCIPALES(1.0),I,M,CL-RM,T,LF,2025-10,4581.2346047441279,PS,3,F,2025-08-01,2025-10-31,Agosto–Octubre 2025,https://www.ine.gob.cl/docs/default-source/ocupacion-y-desocupacion/cuadros-estadisticos/series-vigentes/indicadores_principales.xlsx
dataflow,INE.GOB.CL:DF_ENE_IND_PRINCIPALES(1.0),I,M,CL-RM,T,LF,2025-11,4567.6236835657128,PS,3,F,2025-09-01,2025-11-30,Septiembre–Noviembre 2025,https://www.ine.gob.cl/docs/default-source/ocupacion-y-desocupacion/cuadros-estadisticos/series-vigentes/indicadores_principales.xlsx
dataflow,INE.GOB.CL:DF_ENE_IND_PRINCIPALES(1.0),I,M,CL-RM,T,LF,2025-12,4557.3421261201511,PS,3,F,2025-10-01,2025-12-31,Octubre–Diciembre 2025,https://www.ine.gob.cl/docs/default-source/ocupacion-y-desocupacion/cuadros-estadisticos/series-vigentes/indicadores_principales.xlsx
dataflow,INE.GOB.CL:DF_ENE_IND_PRINCIPALES(1.0),I,M,CL-RM,T,LF,2026-01,4573.2758036938321,PS,3,F,2025-11-01,2026-01-31,Noviembre–Enero 2026,https://www.ine.gob.cl/docs/default-source/ocupacion-y-desocupacion/cuadros-estadisticos/series-vigentes/indicadores_principales.xlsx
dataflow,INE.GOB.CL:DF_ENE_IND_PRINCIPALES(1.0),I,M,CL-RM,T,LF,2026-02,4556.0865333517759,PS,3,F,2025-12-01,2026-02-28,Diciembre–Febrero 2026,https://www.ine.gob.cl/docs/default-source/ocupacion-y-desocupacion/cuadros-estadisticos/series-vigentes/indicadores_principales.xlsx
dataflow,INE.GOB.CL:DF_ENE_IND_PRINCIPALES(1.0),I,M,CL-RM,T,LF,2026-03,4576.3698222778421,PS,3,F,2026-01-01,2026-03-31,Enero–Marzo 2026,https://www.ine.gob.cl/docs/default-source/ocupacion-y-desocupacion/cuadros-estadisticos/series-vigentes/indicadores_principales.xlsx
dataflow,INE.GOB.CL:DF_ENE_IND_PRINCIPALES(1.0),I,M,CL-RM,T,LF,2026-04,4607.9469327757743,PS,3,F,2026-02-01,2026-04-30,Febrero–Abril 2026,https://www.ine.gob.cl/docs/default-source/ocupacion-y-desocupacion/cuadros-estadisticos/series-vigentes/indicadores_principales.xlsx
dataflow,INE.GOB.CL:DF_ENE_IND_PRINCIPALES(1.0),I,M,CL-RM,T,LF,2026-05,4645.736757773621,PS,3,F,2026-03-01,2026-05-31,Marzo–Mayo 2026,https://www.ine.gob.cl/docs/default-source/ocupacion-y-desocupacion/cuadros-estadisticos/series-vigentes/indicadores_principales.xlsx
dataflow,INE.GOB.CL:DF_ENE_IND_PRINCIPALES(1.0),I,M,CL-RM,T,LF_PART_RT,2025-05,66.221452520544204,PT,0,F,2025-03-01,2025-05-31,Marzo–Mayo 2025,https://www.ine.gob.cl/docs/default-source/ocupacion-y-desocupacion/cuadros-estadisticos/series-vigentes/indicadores_principales.xlsx
dataflow,INE.GOB.CL:DF_ENE_IND_PRINCIPALES(1.0),I,M,CL-RM,T,LF_PART_RT,2025-06,66.360925885459508,PT,0,F,2025-04-01,2025-06-30,Abril–Junio 2025,https://www.ine.gob.cl/docs/default-source/ocupacion-y-desocupacion/cuadros-estadisticos/series-vigentes/indicadores_principales.xlsx
